,store,sido,gungu,store_address
938,청주용암점,충청북도,청주시상당구,충청북도 청주시상당구 무농정로3번길 36(용암동)
939,청천2점,인천광역시,부평구,인천광역시 부평구 청중로 65
940,청평점,경기도,가평군,경기도 가평군 청평면 시장중앙로8-6
941,청풍점,충청북도,제천시,"충청북도 제천시 청풍면 청풍호로58길, 10-16"
942,초가점,경기도,포천시,"경기도 포천시 소흘읍 검바위길 84, 상가동 1층 112호(상운아파트)"
943,초계점,경상남도,합천군,경상남도 합천군 초계면 초계2길 12-7
944,초원점,충청남도,아산시,충청남도 아산시 고불로 669
945,초월점,경기도,광주시,경기도 광주시 초월읍 경춘대로 1043
946,초지1점,경기도,안산시단원구,"경기도 안산시단원구 초지2로 67-7, 한양타워 114호"
947,총신대점,서울특별시,동작구,서울특별시 동작구 사당로 168
948,추풍령점,충청북도,영동군,충청북도 영동군 추풍령면 신안로 52-1
949,축산점,경상북도,영덕군,경상북도 영덕군 축산면 축산리 86-18
950,춘천명동점,강원도,춘천시,강원도 춘천시 금강로 76(조양동)
951,춘천터미널점,강원도,춘천시,강원도 춘천시 공지로 458(근화동)
952,춘천팔호광장점,강원도,춘천시,강원도 춘천시 효자로 154(효자동)
953,충남덕산점,충청남도,예산군,충청남도 예산군 덕산면 봉운로 55
954,충청지사, ,,
955,충효점,경상북도,경주시,경상북도 경주시 충효중앙길 65(충효동)
956,칠곡2점,대구광역시,북구,대구광역시 북구 태암로18길 27
957,칠금점,충청북도,충주시,"충청북도 충주시 금릉로 45, 109(칠금동, 현대아파트상가동)"
958,칠보점,경기도,수원시권선구,경기도 수원시권선구 매실로 57 1층 108호(호매실동)
959,칠성점,대구광역시,북구,대구광역시 북구 칠성로15길 8
960,침산점,대구광역시,북구,대구광역시 북구 침산남로7길 50-10
961,탄방점,대전광역시,서구,대전광역시 서구 탄방로 25
962,탄현점,경기도,고양시일산서구,경기도 고양시일산서구 탄현로 74
963,탕정점,충청남도,아산시,충청남도 아산시 탕정면 탕정면로 230-13
964,태백점,강원도,태백시,강원도 태백시 먹거리길 66
965,태백주공점,강원도,태백시,강원도 태백시 감천로 28(황지동)
966,태안점,충청남도,태안군,충청남도 태안군 태안읍 시장2길 42
967,태장점,강원도,원주시,강원도 원주시 북원로 2696(태장동)
968,태전동점,경기도,광주시,경기도 광주시 태봉로 31-3 105호(태전동)
969,태평2점,대전광역시,중구,대전광역시 중구 동서대로 1238
970,태평상가점,인천광역시,계양구,인천광역시 계양구 용종로 14
971,태평점,경기도,성남시수정구,"경기도 성남시수정구 남문로102번길 1(태평동, 1층)"
972,테스트,16,테스트,16  테스트 테스트
973,테크노밸리점,충청남도,서산시,충청남도 서산시 성연면 일람리 1123
974,테크노점,충청북도,청주시흥덕구,"충청북도 청주시흥덕구 송화로166번길 7-9, 1층 102호"
975,테크노점(아산),충청남도,아산시,충청남도 아산시 둔포면 아산밸리로 298
976,토곡점,부산광역시,연제구,부산광역시 연제구 과정로265번길 78
977,통영1점,경상남도,통영시,"경상남도 통영시 중앙로 255 106호(북신동,동우상가)"
978,통영2점,경상남도,통영시,경상남도 통영시 도천상가안길 60 영생상가나동111호
979,퇴계동점,강원도,춘천시,"강원도 춘천시 행촌로32번길 5-6, 1층(퇴계동)"
980,퇴계원점(남양주),경기도,남양주시,"경기도 남양주시 퇴계원면 경춘북로520번길 4, 1층2호"
981,퇴계주공점,강원도,춘천시,강원도 춘천시 지석로 74-11 A13(퇴계동)
